Country id,Province or State id,Province or State,Country ,County id,County,State,Country
KoreaSouth,Nevada_UnitedStates,Nevada,United States,Sitka_Alaska_UnitedStates,Sitka,Alaska,United States
Kosovo,NewHampshire_UnitedStates,NewHampshire,United States,Skagway_Alaska_UnitedStates,Skagway,Alaska,United States
Kuwait,NewJersey_UnitedStates,NewJersey,United States,SoutheastFairbanks_Alaska_UnitedStates,Southeast Fairbanks,Alaska,United States
Kyrgyzstan,NewMexico_UnitedStates,NewMexico,United States,Valdez-Cordova_Alaska_UnitedStates,Valdez-Cordova,Alaska,United States
Laos,NewYork_UnitedStates,NewYork,United States,Wrangell_Alaska_UnitedStates,Wrangell,Alaska,United States
Latvia,NorthCarolina_UnitedStates,NorthCarolina,United States,Yakutat_Alaska_UnitedStates,Yakutat,Alaska,United States
Lebanon,NorthDakota_UnitedStates,NorthDakota,United States,Yukon-Koyukuk_Alaska_UnitedStates,Yukon-Koyukuk,Alaska,United States
Liberia,Ohio_UnitedStates,Ohio,United States,Apache_Arizona_UnitedStates,Apache,Arizona,United States
Libya,Oklahoma_UnitedStates,Oklahoma,United States,Cochise_Arizona_UnitedStates,Cochise,Arizona,United States
Liechtenstein,Oregon_UnitedStates,Oregon,United States,Coconino_Arizona_UnitedStates,Coconino,Arizona,United States
Lithuania,Pennsylvania_UnitedStates,Pennsylvania,United States,Gila_Arizona_UnitedStates,Gila,Arizona,United States
Luxembourg,RhodeIsland_UnitedStates,RhodeIsland,United States,Graham_Arizona_UnitedStates,Graham,Arizona,United States
Madagascar,SouthCarolina_UnitedStates,SouthCarolina,United States,Greenlee_Arizona_UnitedStates,Greenlee,Arizona,United States
Malawi,SouthDakota_UnitedStates,SouthDakota,United States,LaPaz_Arizona_UnitedStates,La Paz,Arizona,United States
Malaysia,Tennessee_UnitedStates,Tennessee,United States,Maricopa_Arizona_UnitedStates,Maricopa,Arizona,United States
Maldives,Texas_UnitedStates,Texas,United States,Mohave_Arizona_UnitedStates,Mohave,Arizona,United States
Mali,Utah_UnitedStates,Utah,United States,Navajo_Arizona_UnitedStates,Navajo,Arizona,United States
Malta,Vermont_UnitedStates,Vermont,United States,Pima_Arizona_UnitedStates,Pima,Arizona,United States
Mauritania,Virginia_UnitedStates,Virginia,United States,Pinal_Arizona_UnitedStates,Pinal,Arizona,United States
Mauritius,Washington_UnitedStates,Washington,United States,SantaCruz_Arizona_UnitedStates,Santa Cruz,Arizona,United States
